District,Station,Lat,Lng
1,01.01.01,41.69042522,44.80198624
1,01.01.02,41.6893862,44.7982612
1,01.01.03,41.69179236,44.7985468
1,01.01.04,41.6887963,44.794791
1,01.01.05,41.6934649,44.7958217
1,01.01.06,41.6948889,44.7942444
1,01.01.07,41.6938573,44.7959839
1,01.01.08,41.6972611,44.7979746
1,01.01.09,41.6978992,44.797502
1,01.01.10,41.696785,44.7940355
1,01.01.11,41.69930618,44.79125794
1,01.01.12,41.6992734,44.79704302
1,01.01.13,41.700818,44.7995495
1,01.01.14,41.7008517,44.7983601
1,01.01.15,41.70128152,44.79216837
1,01.01.16,41.7030809,44.79098019
1,01.01.17,41.70824982,44.78763115
1,01.01.18,41.7047713,44.7900024
1,01.01.19,41.70406687,44.78798368
1,01.01.20,41.70404072,44.7823024
1,01.01.21,41.70626314,44.78613509
1,01.01.22,41.70652457,44.78586699
1,01.01.23,41.70442758,44.78257418
1,01.01.24,41.7035696,44.7821094
1,01.01.25,41.70480037,44.7808367
1,01.01.26,41.7050145,44.78086623
1,01.01.27,41.70728381,44.77933597
1,01.01.28,41.70742426,44.78022419
1,01.01.32,41.686872,44.7755503
1,01.01.33,41.7033259,44.7876111
1,01.04.01,41.6977216,44.8053354
2,02.01.29,41.70970635,44.78558603
2,02.01.30,41.70888847,44.7837305
2,02.01.31,41.70894351,44.78397183
2,02.02.01,41.7098935,44.77701187
2,02.02.02,41.70985378,44.77712498
2,02.02.03,41.70748935,44.77179973
2,02.02.04,41.7091011,44.7692378
2,02.02.05,41.7089152,44.77090998
2,02.02.06,41.70917266,44.76838052
2,02.02.07,41.70774288,44.77139415
2,02.02.08,41.707929,44.7710599
2,02.02.09,41.70831782,44.76775553
2,02.02.10,41.70996158,44.7644645
2,02.02.11,41.70968344,44.75908201
2,02.02.12,41.7095428,44.76015071
2,02.02.13,41.70821831,44.75534266
2,02.02.14,41.71423441,44.75795746
2,02.02.15,41.71204513,44.74945072
2,02.02.16,41.7124338,44.7485043
2,02.02.49,41.7105265,44.753439
2,02.02.50,41.70968043,44.759698
2,02.02.51,41.7102831,44.7671914
2,02.02.52,41.70939692,44.771339
2,02.02.66,41.6978804,44.7005477
2,02.02.67,41.6990048,44.7080639
2,02.02.68,41.6918238,44.6892816
2,02.02.69,41.6904144,44.6892266
2,02.02.70,41.6966921,44.6994823
2,02.02.71,41.7103306,44.7670807
2,02.02.75,41.6882649,44.6851757
2,02.02.76,41.70969727,44.75922883
3,03.02.17,41.71191983,44.74682629
3,03.02.18,41.70983343,44.73114073
3,03.02.19,41.7136238,44.7190129
3,03.02.29,41.7210487,44.7311987
3,03.02.31,41.72524409,44.73059573
3,03.02.33,41.72713296,44.72564649
3,03.02.34,41.72956371,44.7269137
3,03.02.35,41.72958542,44.72719252
3,03.02.36,41.72532081,44.73051554
3,03.02.37,41.72185031,44.73148942
3,03.02.38,41.7209871,44.7241972
3,03.02.39,41.72120863,44.72422081
3,03.02.40,41.72502946,44.71025578
3,03.02.41,41.72542571,44.71414089
3,03.02.42,41.7339512,44.7191514
3,03.02.43,41.7338123,44.7195118
3,03.02.44,41.72236606,44.72326884
3,03.02.45,41.72538968,44.7232604
3,03.02.46,41.7349368,44.7265788
3,03.02.47,41.73468655,44.72468968
3,03.02.48,41.7129471,44.7484588
3,03.02.53,41.7064517,44.7338281
3,03.02.54,41.72518158,44.72995362
3,03.02.55,41.72401457,44.72317758
3,03.02.56,41.720485,44.708895
3,03.02.57,41.7344258,44.7277013
3,03.02.58,41.7347301,44.7263679
3,03.02.60,41.72524596,44.72349117
3,03.02.61,41.7251833,44.73049023
3,03.02.63,41.72110439,44.72416497
3,03.02.64,41.72282726,44.71542299
3,03.02.72,41.7295977,44.7277481
3,03.02.73,41.7347543,44.7261465
3,03.02.74,41.72549377,44.7142911
3,03.02.79,41.71364176,44.71919954
4,04.03.23,41.72714728,44.76546228
4,04.03.24,41.72690306,44.76547837
4,04.03.25,41.73365678,44.76765096
4,04.03.32,41.7293332,44.77301002
4,04.03.33,41.75105226,44.76480782
4,04.03.34,41.75373761,44.76371348
4,04.03.36,41.79052481,44.76130486
4,04.03.37,41.7906365,44.7597967
4,04.03.40,41.7894686,44.7475516
4,04.03.41,41.79390441,44.74379539
4,04.03.42,41.79380843,44.74366665
4,04.03.49,41.75093219,44.76464152
4,04.03.51,41.78928091,44.75501776
4,04.03.52,41.78979287,44.74436939
4,04.03.53,41.7939501,44.7433582
4,04.03.55,41.76671856,44.75301683
4,04.03.56,41.77112764,44.73615646
4,04.03.57,41.77107963,44.73609209
4,04.03.58,41.77401219,44.72682774
4,04.03.59,41.7719018,44.7232604
4,04.03.60,41.7266148,44.75083351
4,04.03.68,41.73366078,44.76792455
4,04.03.70,41.73366078,44.76793528
4,04.03.73,41.79075679,44.75967944
4,04.03.75,41.7941917,44.7437447
4,04.03.76,41.78968888,44.74461079
4,04.03.84,41.7302845,44.75661
4,04.03.85,41.73000578,44.75537181
4,04.03.86,41.77108763,44.73624229
4,04.03.87,41.75090418,44.76459861
4,04.03.88,41.72783989,44.77228582
5,05.02.20,41.74225504,44.69770968
5,05.02.23,41.72546982,44.73445076
5,05.02.24,41.73016606,44.73498716
5,05.02.25,41.72997375,44.73499238
5,05.02.26,41.72608652,44.74462816
5,05.02.27,41.72425662,44.74384904
5,05.02.28,41.72638259,44.73856509
5,05.02.30,41.72550195,44.73454727
5,05.02.32,41.72230275,44.74307656
5,05.02.59,41.73024198,44.73382294
5,05.02.62,41.72576235,44.73903562
5,05.02.65,41.71711751,44.72130239
5,05.02.78,41.72282326,44.74363446
5,05.02.80,41.72621443,44.74495947
5,05.03.06,41.72496328,44.74906862
5,05.03.07,41.72457292,44.74683166
5,05.03.12,41.72135783,44.76275861
5,05.03.13,41.7234468,44.759882
5,05.03.15,41.72196242,44.75719571
5,05.03.16,41.7222557,44.7574847
5,05.03.17,41.72239084,44.75842416
5,05.03.18,41.72534964,44.75430965
5,05.03.19,41.7253096,44.74694967
5,05.03.20,41.72721133,44.75406826
5,05.03.21,41.72730742,44.75416481
5,05.03.22,41.73009785,44.76688385
5,05.03.46,41.73007784,44.76696968
5,05.03.47,41.72625447,44.74538326
5,05.03.64,41.72277921,44.75578487
5,05.03.65,41.72537767,44.75421309
5,05.03.66,41.72687904,44.75479782
5,05.03.67,41.72686302,44.75482464
5,05.03.79,41.72454089,44.74683702
6,06.03.01,41.71608841,44.78100836
6,06.03.02,41.71723563,44.77809548
6,06.03.03,41.71957605,44.77952778
6,06.03.04,41.71489913,44.76923347
6,06.03.05,41.71589621,44.77917373
6,06.03.08,41.71487911,44.76923883
6,06.03.09,41.7188259,44.7671566
6,06.03.10,41.7198939,44.7637072
6,06.03.11,41.720521,44.77329433
6,06.03.14,41.7252015,44.77380395
6,06.03.26,41.72786792,44.76733983
6,06.03.27,41.72809612,44.77200687
6,06.03.28,41.72578204,44.77195323
6,06.03.29,41.7268224,44.7710713
6,06.03.30,41.7245569,44.77749467
6,06.03.31,41.72216262,44.77888405
6,06.03.43,41.719589,44.7796191
6,06.03.44,41.7234919,44.77748394
6,06.03.45,41.72513344,44.76569295
6,06.03.48,41.72231877,44.77782726
6,06.03.54,41.71872718,44.76852
6,06.03.61,41.71563193,44.78356183
6,06.03.62,41.71950798,44.77943659
6,06.03.63,41.71479902,44.77563858
6,06.03.69,41.71875921,44.75826859
6,06.03.71,41.72568995,44.77190495
6,06.03.72,41.7185953,44.7683004
6,06.03.77,41.71879925,44.76699114
6,06.03.78,41.7252863,44.7737819
6,06.03.81,41.71604837,44.7829932
6,06.03.82,41.71947995,44.77950633
6,06.03.83,41.714779,44.76924956
7,07.01.35,41.6613499,44.7002731
7,07.01.36,41.65804428,44.65424618
7,07.01.37,41.64841229,44.76065095
7,07.01.38,41.6683213,44.7414619
7,07.01.39,41.66892877,44.77216244
7,07.04.02,41.69562369,44.80489625
7,07.04.03,41.6929608,44.8046994
7,07.04.04,41.6931769,44.8035574
7,07.04.05,41.6895085,44.8022144
7,07.04.06,41.6910365,44.8026366
7,07.04.07,41.689286,44.8095665
7,07.04.08,41.6866757,44.8152708
7,07.04.09,41.6861363,44.8186728
7,07.04.10,41.6863845,44.818425
7,07.04.11,41.6820277,44.8245496
7,07.04.12,41.68046794,44.82378937
7,07.04.13,41.6780274,44.8222425
7,07.04.14,41.6735068,44.8230168
7,07.04.15,41.673275,44.8234975
7,07.04.16,41.6786316,44.8267691
7,07.04.17,41.66969415,44.84621823
7,07.04.18,41.65691773,44.89767878
7,07.04.19,41.6516296,44.9079305
7,07.04.20,41.64860416,44.9095467
7,07.04.21,41.6447728,44.9091038
7,07.04.22,41.6439715,44.90911457
7,07.04.23,41.64371418,44.9091101
7,07.04.24,41.6443072,44.8992436
7,07.04.25,41.64458977,44.89928792
7,07.04.26,41.64428146,44.89970756
7,07.04.27,41.64392769,44.89759202
7,07.04.28,41.6438919,44.8983683
7,07.04.29,41.64032653,44.91558031
7,07.04.30,41.64011752,44.9153435
7,07.04.31,41.64034357,44.91526889
7,07.04.32,41.68223261,44.82439059
8,08.05.47,41.6869348,44.8584448
8,08.05.48,41.6900204,44.861574
8,08.05.49,41.6899778,44.861935
8,08.05.50,41.6897868,44.8622719
8,08.05.51,41.6926131,44.8576493
8,08.05.52,41.6874073,44.8592092
8,08.05.53,41.6890113,44.8614256
8,08.05.54,41.6960437,44.861922
8,08.05.55,41.6945208,44.8567292
8,08.05.56,41.6965232,44.8565089
8,08.05.57,41.6947898,44.8573162
8,08.05.58,41.70811,44.8529378
8,08.05.59,41.6952485,44.8587536
8,08.05.60,41.7032143,44.8503186
8,08.05.61,41.6960289,44.8618583
8,08.05.62,41.7020506,44.8508915
8,08.05.63,41.7026415,44.8528254
8,08.05.64,41.7096445,44.849697
8,08.05.65,41.7058664,44.849889
8,08.05.66,41.7061921,44.8441492
8,08.05.67,41.7066373,44.8454109
8,08.05.68,41.7023389,44.8467295
8,08.05.69,41.7016009,44.8475104
8,08.05.70,41.7102381,44.8501653
8,08.05.71,41.7066456,44.8440753
8,08.05.72,41.7070589,44.8458984
8,08.05.73,41.7020215,44.8475711
8,08.05.74,41.7028874,44.8525113
8,08.05.75,41.7045211,44.8468201
8,08.06.38,41.69571646,44.8656127
8,08.06.39,41.6935173,44.8675999
8,08.06.40,41.6941789,44.867384
8,08.06.41,41.6933565,44.8692266
9,09.05.01,41.7014332,44.8209018
9,09.05.02,41.7017818,44.8215521
9,09.05.03,41.7024066,44.8215775
9,09.05.04,41.7016862,44.8206641
9,09.05.05,41.69466395,44.81258685
9,09.05.06,41.6941468,44.8199843
9,09.05.07,41.6931778,44.8195167
9,09.05.08,41.6905092,44.8174216
9,09.05.09,41.69188601,44.82034028
9,09.05.10,41.69192607,44.82048512
9,09.05.11,41.69315984,44.8235321
9,09.05.12,41.69052403,44.81990039
9,09.05.13,41.6876184,44.824282
9,09.05.14,41.68908991,44.82930422
9,09.05.15,41.6860946,44.8289239
9,09.05.38,41.6911276,44.8375274
9,09.05.39,41.68833679,44.85123396
9,09.05.40,41.6963443,44.84489858
9,09.05.41,41.6961856,44.8447256
9,09.05.42,41.69573145,44.84464645
9,09.05.43,41.6964204,44.84486103
9,09.05.44,41.6953866,44.84423
9,09.05.45,41.6886961,44.8513673
9,09.05.46,41.6923985,44.8570867
9,09.07.04,41.7014734,44.8083164
9,09.07.05,41.701636,44.8085344
9,09.07.06,41.7062033,44.806018
9,09.07.25,41.7039373,44.8061636
9,09.07.26,41.7004195,44.809122
9,09.07.35,41.70226352,44.80717599
10,10.05.16,41.6872191,44.82707798
10,10.05.17,41.68702281,44.83688414
10,10.05.18,41.6870869,44.83678222
10,10.05.19,41.68705886,44.83680367
10,10.05.20,41.6865171,44.8340924
10,10.05.21,41.67635772,44.84038711
10,10.05.22,41.6760242,44.8412034
10,10.05.23,41.67763987,44.84064996
10,10.05.24,41.67763185,44.84064996
10,10.05.25,41.67763185,44.84065533
10,10.05.26,41.67653401,44.85152364
10,10.05.27,41.6768641,44.84997
10,10.05.28,41.6763635,44.8511596
10,10.05.29,41.68413836,44.85756397
10,10.05.30,41.6744635,44.8585875
10,10.05.31,41.6773497,44.8541353
10,10.05.32,41.6729691,44.8586195
10,10.05.33,41.6727851,44.8592104
10,10.05.34,41.6735446,44.8684411
10,10.05.35,41.67283168,44.86756325
10,10.05.36,41.6737691,44.8739474
10,10.05.37,41.6724367,44.8707767
10,10.05.76,41.6763083,44.8511123
10,10.06.102,41.67035532,44.8812747
10,10.06.103,41.6704717,44.8813048
10,10.06.104,41.6699228,44.8797592
10,10.06.105,41.670654,44.8836085
10,10.06.106,41.6709576,44.8835516
10,10.06.107,41.6711397,44.8839202
10,10.06.110,41.6717474,44.8818586
10,10.06.111,41.6721091,44.8816294
10,10.06.94,41.6702328,44.8893577
11,11.06.01,41.70895315,44.87740805
11,11.06.02,41.70919568,44.87994171
11,11.06.03,41.70921297,44.87994887
11,11.06.04,41.70895285,44.87728161
11,11.06.05,41.70945948,44.88000082
11,11.06.06,41.70946326,44.87997473
11,11.06.07,41.70683949,44.87973722
11,11.06.08,41.70679774,44.87972833
