District;Voters;Station;A;B;C
0;0;00.87.01;550;800;1171
0;0;00.87.02;132;0;132
0;0;00.87.03;31;94;114
0;0;00.87.04;20;35;36
0;0;00.87.05;15;35;37
0;0;00.87.06;20;38;40
0;0;00.87.07;41;80;91
0;0;00.87.08;64;141;171
0;0;00.87.09;15;177;198
0;0;00.87.10;23;48;59
0;0;00.87.11;25;108;132
0;0;00.87.12;9;16;18
0;0;00.87.13;22;71;83
0;0;00.87.14;9;23;26
0;0;00.87.15;21;92;113
0;0;00.87.16;8;11;13
0;0;00.87.17;23;44;58
0;0;00.87.18;27;70;90
0;0;00.87.19;20;56;65
0;0;00.87.20;13;37;42
0;0;00.87.21;19;53;55
0;0;00.87.22;7;17;22
0;0;00.87.23;15;32;36
0;0;00.87.24;17;43;49
0;0;00.87.25;26;56;69
0;0;00.87.26;6;9;12
0;0;00.87.27;17;30;37
0;0;00.87.28;10;26;29
0;0;00.87.29;10;41;45
0;0;00.87.30;12;20;30
0;0;00.87.31;24;48;53
0;0;00.87.32;25;47;47
0;0;00.87.33;10;19;23
0;0;00.87.34;42;101;126
0;0;00.87.35;41;102;128
0;0;00.87.36;50;108;153
0;0;00.87.37;46;133;170
0;0;00.87.38;42;99;128
0;0;00.87.39;48;116;141
0;0;00.87.40;30;76;103
0;0;00.87.41;8;18;22
0;0;00.87.42;18;35;38
0;0;00.87.43;15;25;27
0;0;00.87.44;69;143;169
0;0;00.87.45;3;16;16
0;0;00.87.46;18;30;38
0;0;00.87.47;14;26;32
0;0;00.87.48;17;25;32
0;0;00.87.49;10;16;20
0;0;00.87.50;18;33;34
0;0;00.87.51;9;34;42
0;0;00.87.52;31;70;78
0;0;00.87.53;10;14;16
0;0;00.87.55;12;17;19
0;0;00.87.56;18;24;24
0;0;00.87.58;5;12;16
0;0;00.87.59;13;42;48
1;1481;01.01.01;266;604;751
1;1305;01.01.02;251;593;718
1;1470;01.01.03;270;658;811
1;1196;01.01.04;204;534;668
1;1577;01.01.05;270;663;825
1;1484;01.01.06;284;683;890
1;1458;01.01.07;212;609;759
1;1149;01.01.08;186;469;584
1;1444;01.01.09;343;649;844
1;1571;01.01.10;307;678;856
1;1613;01.01.11;290;699;837
1;1553;01.01.12;260;683;862
1;1345;01.01.13;274;610;693
1;1201;01.01.14;206;564;698
1;1392;01.01.15;265;627;797
1;1513;01.01.16;242;695;868
1;1006;01.01.17;173;443;521
1;1123;01.01.18;194;513;624
1;1504;01.01.19;286;665;830
1;1441;01.01.20;292;690;812
1;1429;01.01.21;265;654;859
1;1533;01.01.22;263;694;929
1;1431;01.01.23;289;700;887
1;1574;01.01.24;279;706;921
1;1086;01.01.25;203;496;606
1;1500;01.01.26;292;685;855
1;1555;01.01.27;284;700;925
1;1362;01.01.28;264;686;861
1;1603;01.01.32;302;735;989
1;1346;01.01.33;244;619;779
1;1588;01.04.01;283;677;872
2;1620;02.01.29;282;750;978
2;1220;02.01.30;217;620;749
2;1444;02.01.31;269;667;882
2;1290;02.02.01;137;670;823
2;1411;02.02.02;285;750;932
2;1535;02.02.03;276;809;982
2;1441;02.02.04;263;758;932
2;1597;02.02.05;243;800;1027
2;1340;02.02.06;252;669;865
2;1057;02.02.07;192;562;705
2;1310;02.02.08;220;611;740
2;1254;02.02.09;231;583;713
2;1371;02.02.10;235;703;886
2;1346;02.02.11;256;691;891
2;1321;02.02.12;285;596;882
2;1502;02.02.13;304;740;927
2;1426;02.02.14;263;727;897
2;1421;02.02.15;278;683;909
2;1261;02.02.16;217;503;684
2;1200;02.02.22;209;511;648
2;1484;02.02.49;286;727;937
2;1569;02.02.50;248;792;984
2;1536;02.02.51;267;752;943
2;1204;02.02.52;196;680;799
2;1293;02.02.66;269;583;745
2;1043;02.02.67;231;483;645
2;1286;02.02.68;287;533;665
2;1087;02.02.69;239;537;653
2;1013;02.02.70;169;411;519
2;1518;02.02.71;187;559;709
2;925;02.02.75;212;442;557
2;1188;02.02.76;196;640;776
3;824;03.02.17;146;420;490
3;1194;03.02.18;279;625;729
3;760;03.02.19;141;297;360
3;1490;03.02.29;291;756;943
3;1184;03.02.31;276;611;717
3;1192;03.02.33;228;604;711
3;1371;03.02.34;254;660;814
3;1224;03.02.35;270;560;707
3;1340;03.02.36;221;621;786
3;1227;03.02.37;245;590;734
3;1496;03.02.38;256;668;856
3;1425;03.02.39;265;615;785
3;1147;03.02.40;226;574;701
3;861;03.02.41;159;425;513
3;1411;03.02.42;303;676;805
3;1474;03.02.43;239;575;748
3;1329;03.02.44;238;633;785
3;1395;03.02.45;309;681;811
3;1251;03.02.46;301;605;739
3;1405;03.02.47;288;673;797
3;1476;03.02.48;261;755;908
3;1628;03.02.53;239;603;794
3;1124;03.02.54;200;560;653
3;1389;03.02.55;247;614;752
3;1584;03.02.56;254;601;741
3;1253;03.02.57;234;592;724
3;1437;03.02.58;244;678;817
3;1539;03.02.60;306;760;968
3;1534;03.02.61;335;737;883
3;1319;03.02.63;259;574;736
3;1569;03.02.64;281;742;928
3;906;03.02.72;187;460;547
3;1075;03.02.73;229;454;575
3;903;03.02.74;190;450;556
3;981;03.02.79;137;321;403
4;1620;04.03.23;290;727;906
4;1550;04.03.24;274;668;908
4;1495;04.03.25;294;626;822
4;1506;04.03.32;268;639;876
4;1529;04.03.33;309;616;736
4;1434;04.03.34;319;689;840
4;1471;04.03.36;348;717;863
4;1448;04.03.37;304;745;899
4;1456;04.03.40;336;720;864
4;1382;04.03.41;232;535;661
4;1489;04.03.42;267;642;760
4;1531;04.03.49;298;618;738
4;1653;04.03.51;303;739;961
4;1432;04.03.52;305;652;807
4;1522;04.03.53;270;604;758
4;1490;04.03.55;250;555;717
4;1344;04.03.56;263;540;652
4;1350;04.03.57;255;523;671
4;1508;04.03.58;235;516;659
4;1505;04.03.59;240;561;766
4;1515;04.03.60;258;525;640
4;1414;04.03.68;220;566;602
4;1416;04.03.70;216;586;740
4;1669;04.03.73;300;794;939
4;1387;04.03.75;316;580;705
4;1478;04.03.76;333;665;791
4;1492;04.03.84;248;658;779
4;1351;04.03.85;245;630;753
4;1343;04.03.86;254;520;650
4;1494;04.03.87;283;598;707
4;1253;04.03.88;229;586;681
5;374;05.02.20;112;188;221
5;1480;05.02.23;265;724;925
5;1607;05.02.24;337;806;953
5;1436;05.02.25;287;699;899
5;868;05.02.26;169;455;526
5;1401;05.02.27;269;705;867
5;1390;05.02.28;305;699;845
5;1329;05.02.30;226;611;776
5;1146;05.02.32;244;560;708
5;1428;05.02.59;317;685;843
5;1232;05.02.62;201;523;683
5;749;05.02.65;144;288;346
5;1229;05.02.78;211;607;720
5;1048;05.02.80;191;542;655
5;1222;05.03.06;240;569;717
5;1588;05.03.07;270;739;974
5;1520;05.03.12;277;696;869
5;1581;05.03.13;306;722;898
5;1457;05.03.15;254;670;835
5;1612;05.03.16;239;685;922
5;1304;05.03.17;185;590;725
5;1465;05.03.18;276;708;891
5;1334;05.03.19;284;679;835
5;1506;05.03.20;270;717;892
5;1221;05.03.21;205;564;700
5;1359;05.03.22;220;637;794
5;1170;05.03.46;194;539;657
5;1424;05.03.47;298;694;858
5;1618;05.03.64;331;840;1005
5;1568;05.03.65;263;711;887
5;1392;05.03.66;190;566;711
5;1177;05.03.67;196;512;627
5;1587;05.03.79;300;747;972
6;1484;06.03.01;290;701;848
6;1585;06.03.02;325;838;970
6;1481;06.03.03;260;664;818
6;1412;06.03.04;262;610;766
6;1600;06.03.05;315;731;893
6;1462;06.03.08;254;612;736
6;1520;06.03.09;286;768;1004
6;1422;06.03.10;281;718;908
6;1445;06.03.11;300;724;871
6;1545;06.03.14;277;780;945
6;1151;06.03.26;261;613;744
6;682;06.03.27;142;356;415
6;1300;06.03.28;210;603;819
6;1358;06.03.29;255;644;807
6;1298;06.03.30;288;637;765
6;1489;06.03.31;290;736;884
6;1524;06.03.43;249;665;863
6;1502;06.03.44;253;673;883
6;1092;06.03.45;286;622;726
6;1349;06.03.48;260;575;726
6;1401;06.03.54;330;735;934
6;1315;06.03.61;252;674;804
6;1277;06.03.62;220;600;787
6;1480;06.03.63;300;695;879
6;1608;06.03.69;293;785;1008
6;1130;06.03.71;223;618;746
6;1396;06.03.72;295;731;908
6;1475;06.03.77;245;568;727
6;1421;06.03.78;285;685;826
6;1277;06.03.81;181;472;572
6;1070;06.03.82;220;510;607
6;1614;06.03.83;284;840;1045
7;1306;07.01.35;229;586;793
7;337;07.01.36;88;177;205
7;1677;07.01.37;352;783;1093
7;989;07.01.38;228;586;716
7;1313;07.01.39;363;784;967
7;1380;07.04.02;189;515;640
7;1500;07.04.03;183;507;682
7;1364;07.04.04;184;492;599
7;1281;07.04.05;168;432;536
7;1435;07.04.06;214;501;579
7;1290;07.04.07;235;462;589
7;1369;07.04.08;241;540;638
7;1044;07.04.09;187;385;467
7;1319;07.04.10;232;485;592
7;1055;07.04.11;206;377;450
7;1584;07.04.12;282;583;770
7;1546;07.04.13;228;536;736
7;1644;07.04.14;264;627;853
7;1447;07.04.15;234;614;793
7;1528;07.04.16;216;558;929
7;1430;07.04.17;272;611;766
7;1189;07.04.18;198;423;562
7;1372;07.04.19;199;465;626
7;1289;07.04.20;238;496;584
7;1205;07.04.21;274;481;607
7;1012;07.04.22;190;399;472
7;1471;07.04.23;287;585;744
7;1401;07.04.24;225;377;464
7;1384;07.04.25;239;502;633
7;1296;07.04.26;259;537;655
7;1388;07.04.27;295;594;711
7;1530;07.04.28;302;641;800
7;1382;07.04.29;212;418;526
7;1411;07.04.30;170;386;526
7;1254;07.04.31;192;377;472
7;908;07.04.32;166;445;554
8;1460;08.05.47;247;582;717
8;1287;08.05.48;260;500;570
8;1239;08.05.49;171;409;515
8;1479;08.05.50;255;531;663
8;1588;08.05.51;162;463;567
8;1577;08.05.52;293;642;784
8;1602;08.05.53;241;514;650
8;1324;08.05.54;220;503;631
8;1355;08.05.55;221;495;629
8;1419;08.05.56;217;518;650
8;1299;08.05.57;244;487;592
8;1342;08.05.58;205;485;620
8;1431;08.05.59;241;550;653
8;1302;08.05.60;238;510;651
8;1375;08.05.61;230;493;588
8;1360;08.05.62;234;479;608
8;1383;08.05.63;245;564;747
8;1412;08.05.64;237;518;648
8;1350;08.05.65;234;458;549
8;1364;08.05.66;233;489;615
8;1386;08.05.67;240;540;625
8;1380;08.05.68;253;544;684
8;1282;08.05.69;213;520;624
8;1417;08.05.70;202;490;600
8;1319;08.05.71;210;495;599
8;1358;08.05.72;170;422;563
8;1249;08.05.73;219;452;560
8;1398;08.05.74;262;568;686
8;1324;08.05.75;233;495;585
8;1580;08.06.38;260;584;710
8;1162;08.06.39;206;479;579
8;986;08.06.40;186;380;456
8;1401;08.06.41;218;475;581
9;1467;09.05.01;220;470;610
9;1649;09.05.02;224;550;687
9;1544;09.05.03;225;468;562
9;1578;09.05.04;179;435;595
9;1505;09.05.05;220;474;598
9;1546;09.05.06;172;452;580
9;1608;09.05.07;273;603;720
9;1449;09.05.08;223;518;618
9;1376;09.05.09;170;501;607
9;1462;09.05.10;244;579;687
9;1569;09.05.11;262;584;714
9;1598;09.05.12;293;615;762
9;1517;09.05.13;244;538;706
9;1163;09.05.14;186;455;550
9;834;09.05.15;120;270;349
9;1705;09.05.38;267;600;743
9;1555;09.05.39;243;527;658
9;1611;09.05.40;212;478;636
9;1471;09.05.41;211;488;610
9;1619;09.05.42;232;524;632
