date,BGN/1/ბულგარული ლევი,DKK/10/დანიური კრონი,EUR/1/ევრო,GBP/1/დიდი ბრიტანეთის გირვანქა სტერლინგი,ISK/100/ისლანდიური კრონი,RSD/100/სერბიული დინარი,NOK/10/ნორვეგიული კრონი,PLN/10/პოლონური ზლოტი,"ROL/10,000/რუმინული ლეი",RON/10/რუმინული ლეი,HUF/100/უნგრული ფორინტი,SEK/10/შვედური კრონი,CHF/1/შვეიცარიული ფრანკი ,CZK/10/ჩეხური კრონა,USD/1/აშშ დოლარი,CAD/1/კანადური დოლარი,AUD/1/ავსტრალიური დოლარი,EGP/10/ეგვიპტური გირვანქა,"TRL/1,000,000/თურქული ლირა",TRY/1/თურქული ლირა,JPY/100/იაპონური იენი,AED/10/არაბეთის გაერთიანებული საამიროების დირჰამი,"IRR/10,000/ირანული რიალი",ILS/10/ისრაელის შეკელი,SGD/1/სინგაპურული დოლარი,KWD/1/ქუვეითური დინარი,CNY/10/ჩინური იუანი,HKD/10/ჰონკონგური დოლარი,INR/100/ინდური რუპია,NZD/1/ახალზელანდიური დოლარი,RUB/100/რუსული რუბლი,"AZM/1,000/აზერბაიჯანული მანათი",AZN/1/აზერბაიჯანული მანათი,"BYR/10,000/ბელარუსული რუბლი",BYN/1/ბელარუსული რუბლი,EEK/10/ესტონური კრონა,"TMM/1,000/თურქმენული მანათი",TMT/10/თურქმენული მანათი,LVL/1/ლატვიური ლატი,LTL/10/ლიტვური ლიტი,MDL/10/მოლდოვური ლეი,"AMD/1,000/სომხური დრამი",TJS/10/ტაჯიკური სომონი,"UZS/1,000/უზბეკური სუმი",UAH/10/უკრაინული გრივნა,KZT/100/ყაზახური ტენგე,KGS/100/ყირგიზული სომი,ZAR/10/სამხრეთ აფრიკული რანდი,BRL/1/ბრაზილიური რიალი,QAR/10/კატარული რიალი,"KRW/1,000/სამხრეთ კორეული ვონი",CYP/1/კვიპროსული გირვანქა სტერლინგი,ATS/10/ავსტრიული შილინგი,BEF/100/ბელგიური ფრანკი,DEM/1/გერმანული მარკა,NLG/10/ჰოლანდიური გულდენი,"ITL/1,000/იტალიური ლირა",FIM/10/ფინური მარკა,FRF/10/ფრანგული ფრანკი,ESP/100/ესპანური პესეტა,GRD/100/ბერძნული დრაჰმა,IEP/1/ირლანდიური ფუნტი,LUF/100/ლუქსემბურგული ფრანკი,"PTE/1,000/პორტუგალიური ესკუდო"
Mon Jan 01 2001 00:00:00 GMT+0400 (Georgia Standard Time),,,,2.9455,,,,,,,,,1.2065,,1.9750,,,,,,,,,,,,,,,,6.9300,,,,,,,,,,,3.5790,,,3.6345,,,,,,,,,,0.9280,,0.9374,,,,,,,
Tue Jan 02 2001 00:00:00 GMT+0400 (Georgia Standard Time),,,,2.9455,,,,,,,,,1.2065,,1.9750,,,,,,,,,,,,,,,,6.9300,,,,,,,,,,,3.5790,,,3.6345,,,,,,,,,,0.9280,,0.9374,,,,,,,
Wed Jan 03 2001 00:00:00 GMT+0400 (Georgia Standard Time),,,,2.9455,,,,,,,,,1.2065,,1.9750,,,,,,,,,,,,,,,,6.9300,,,,,,,,,,,3.5790,,,3.6345,,,,,,,,,,0.9280,,0.9374,,,,,,,
Thu Jan 04 2001 00:00:00 GMT+0400 (Georgia Standard Time),,,,2.9455,,,,,,,,,1.2065,,1.9750,,,,,,,,,,,,,,,,6.9300,,,,,,,,,,,3.5790,,,3.6345,,,,,,,,,,0.9280,,0.9374,,,,,,,
Fri Jan 05 2001 00:00:00 GMT+0400 (Georgia Standard Time),,,,2.9641,,,,,,,,,1.2225,,1.9900,,,,,,,,,,,,,,,,6.9700,,,,,,,,,,,3.6060,,,3.6617,,,,,,,,,,0.9746,,0.9844,,,,,,,
Sat Jan 06 2001 00:00:00 GMT+0400 (Georgia Standard Time),,,,2.9773,,,,,,,,,1.2220,,1.9800,,,,,,,,,,,,,,,,6.9700,,,,,,,,,,,3.5760,,,3.6437,,,,,,,,,,0.9715,,0.9813,,,,,,,
Sun Jan 07 2001 00:00:00 GMT+0400 (Georgia Standard Time),,,,2.9773,,,,,,,,,1.2220,,1.9800,,,,,,,,,,,,,,,,6.9700,,,,,,,,,,,3.5760,,,3.6437,,,,,,,,,,0.9715,,0.9813,,,,,,,
Mon Jan 08 2001 00:00:00 GMT+0400 (Georgia Standard Time),,,,2.9773,,,,,,,,,1.2220,,1.9800,,,,,,,,,,,,,,,,6.9700,,,,,,,,,,,3.5760,,,3.6437,,,,,,,,,,0.9715,,0.9813,,,,,,,
Tue Jan 09 2001 00:00:00 GMT+0400 (Georgia Standard Time),,,,3.0074,,,,,,,,,1.2504,,2.0000,,,,,,,,,,,,,,,,7.0400,,,,,,,,,,,3.6120,,,3.6806,,,,,,,,,,0.9868,,0.9968,,,,,,,
Wed Jan 10 2001 00:00:00 GMT+0400 (Georgia Standard Time),,,,3.0361,,,,,,,,,1.2609,,2.0300,,,,,,,,,,,,,,,,7.1400,,,,,,,,,,,3.6660,,,3.7358,,,,,,,,,,0.9808,,0.9907,,,,,,,
Thu Jan 11 2001 00:00:00 GMT+0400 (Georgia Standard Time),,,,3.0198,,,,,,,,,1.2583,,2.0300,,,,,,,,,,,,,,,,6.9000,,,,,,,,,,,3.6660,,,3.7355,,,,,,,,,,0.9868,,0.9968,,,,,,,
Fri Jan 12 2001 00:00:00 GMT+0400 (Georgia Standard Time),,,,3.0268,,,,,,,,,1.2531,,2.0351,,,,,,,,,,,,,,,,7.1600,,,,,,,,,,,3.6750,,,3.7452,,,,,,,,,,0.9781,,0.9880,,,,,,,
Sat Jan 13 2001 00:00:00 GMT+0400 (Georgia Standard Time),,,,3.0607,,,,,,,,,1.2693,,2.0421,,,,,,,,,,,,,,,,7.2100,,,,,,,,,,,3.6880,,,3.7584,,,,,,,,,,0.9970,,1.0071,,,,,,,
