index,Timestamp,group,sex,age,experience,category,cloud,language,framework,sourceControl,useTesters,useCI,stackoverflow,githubStars,jobType,workType,workingLanguage,employer,placement,revenuePlace,satisfied,hoursPerMonth,deservedSalary,pandemicInfluence,unarebiResults,gpa,education,workstationType,workstation,computerModel,ram,memoryType,memorySize,averageMonthlyRevenue
1,10/7/2020 21:27:14,"Group - ""Remote Work - Georgian Community"" ",male,21-23,2-4 years,Mobile Apps Developer,don't use,Swift,neither,Git,yes,Jenkins,don't have account,don't have account,Full Time,Office - Local Projects,georgian,finances,georgia,georgia,yes,160-200,4k-5k,no influence,80-90 %,3-3.5,finished -  bachelor,laptop,Macbook Pro,Macbook,16 gb,SSD  (fast),256 gb,no answer
2,10/7/2020 21:30:18,"Group - ""Georgian Web & Mobile Development Industry"" ",male,21-23,2-4 years,Business Analyst,AWS,Python,neither,Git,no,don't use,don't have account,0-10,Full Time,Office - Local Projects,georgian,finances,georgia,georgia,yes,100-160,4k-5k,no influence,90 - 100 %,2-2.5,studying -  bachelor,laptop,HP Pavilion,HP,16 gb,SSD  (fast),256 gb,no answer
3,10/7/2020 21:31:36,"Group - ""Remote Work - Georgian Community"" ",male,27-29,2-4 years,Full Stack Developer,Digital Ocean,PHP,Laravel,Git,no,Circle CI,10-100,0-10,Full Time,Office - Local Projects,georgian,government org,georgia,georgia,no,40-100,2k-3k,no influence,60-70 %,3.7-3.8,finished - master,laptop,Macbook Pro,Macbook,8 gb,SSD  (fast),128 gb,no answer
4,10/7/2020 21:31:43,"Group - ""Remote Work - Georgian Community"" ",male,18-20,4-6 years,Back End Developer,AWS,TypeScript,NestJS,Git,no,Github Actions,don't have account,0-10,Both (Full time + Part Time),Remote  - International Projects,english,marceting,georgia,germany,yes,100-160,7k-10k,no influence,60-70 %,0.5-1,studying -  bachelor,laptop,Dell Latitude,Dell,16 gb,SSD  (fast),256 gb,no answer
5,10/7/2020 21:32:52,"Group - ""Remote Work - Georgian Community"" ",male,27-29,6-9 years,Mobile Apps Developer,Digital Ocean,Kotlin,neither,Git,yes,Jenkins,100-200,20-50,Full Time,Office - Local Projects,georgian,finances,georgia,georgia,yes,160-200,7k-10k,no influence,70-80 %,2-2.5,finished - master,laptop,Macbook Pro,Macbook,16 gb,SSD  (fast),512 gb,no answer
6,10/7/2020 21:33:09,"Group - ""Remote Work - Georgian Community"" ",male,24-26,2-4 years,Full Stack Developer,AWS,TypeScript,React,Git,no,don't use,0-10,0-10,Both (Full time + Part Time),no answer,no answer,information technologies,georgia,canada,yes,160-240,30k-50k,"yes, increased",90 - 100 %,0-0.5,just school,laptop,Macbook Pro,Macbook,16 gb,SSD  (fast),256 gb,no answer
7,10/7/2020 21:33:32,"Group - ""Remote Work - Georgian Community"" ",male,24-26,4-6 years,Full Stack Developer,AWS,Javascript,Vue,Git,yes,Azure Devops,2000-5000,0-10,Both (Full time + Part Time),Remote  - International Projects,georgian,information technologies,georgia,united states,yes,160-200,30k-50k,no influence,90 - 100 %,2.5-3,finished -  bachelor,laptop,no answer,no answer,16 gb,SSD  (fast),256 gb,no answer
8,10/7/2020 21:33:36,"Group - ""Remote Work - Georgian Community"" ",male,24-26,4-6 years,Full Stack Developer,don't use,C#,.NET Core,Git,yes,Jenkins,0-10,0-10,Full Time,Office - Local Projects,georgian,gambling,georgia,georgia,yes,160-200,7k-10k,no influence,80-90 %,1-1.5,studying -  bachelor,Desktop computer,no answer,no answer,16 gb,SSD  (fast),1 tb,no answer
9,10/7/2020 21:33:43,"Group - ""Remote Work - Georgian Community"" ",male,21-23,don't have,Back End Developer,don't use,C/C++,React,Git,no,don't use,don't have account,0-10,not employed,no answer,no answer,no answer,no answer,germany,no answer,no answer,500-1000,"yes, decreased",80-90 %,3-3.5,finished -  bachelor,laptop,Macbook Pro,Macbook,4 gb,HDD (slow),512 gb,no answer
10,10/7/2020 21:35:18,"Group - ""Remote Work - Georgian Community"" ",male,18-20,0-1 years,Back End Developer,don't use,C#,.NET Core,Git,yes,no answer,0-10,0-10,Full Time,Office - Local Projects,georgian,finances,georgia,georgia,yes,100-160,1000-1500,no influence,no answer,no answer,studying -  bachelor,laptop,HP Probook,HP,16 gb,SSD  (fast),256 gb,no answer
11,10/7/2020 21:35:56,friend,male,27-29,6-9 years,Full Stack Developer,don't use,Java,neither,Git,yes,Gitlab CI,no answer,0-10,Full Time,Office - Local Projects,georgian,information technologies,georgia,georgia,so so,240-300,5k-6k,no influence,90 - 100 %,3-3.5,finished - master,Desktop computer,no answer,no answer,16 gb,SSD  (fast),256 gb,no answer
12,10/7/2020 21:36:16,"Group - ""Remote Work - Georgian Community"" ",male,21-23,1-2 years,Front End Developer,don't use,TypeScript,Angular,Git,no,don't use,don't have account,0-10,Both (Full time + Part Time),Remote  - Local Projects,georgian,government org,georgia,georgia,no,100-160,3k-4k,no influence,50-60 %,2.5-3,finished -  bachelor,laptop,"Dell ",Dell,12 gb,SSD  (fast),256 gb,no answer
13,10/7/2020 21:42:13,"Group - ""Remote Work - Georgian Community"" ",female,27-29,4-6 years,Front End Developer,don't use,Javascript,React,Git,yes,Gitlab CI,don't have account,don't have account,Full Time,Office - Local Projects,georgian,information technologies,georgia,georgia,no,160-240,5k-6k,no influence,80-90 %,4,finished -  bachelor,Desktop computer,Macbook Pro,Macbook,32 gb,SSD  (fast),256 gb,2k-3k
14,10/7/2020 22:41:09,"Group - ""Georgian Web & Mobile Development Industry"" ",male,18-20,0-1 years,Front End Developer,Digital Ocean,Javascript,Vue,Git,no,don't use,0-10,0-10,not employed,no answer,no answer,no answer,georgia,georgia,no answer,40-100,1000-1500,"yes, decreased",no answer,no answer,studying -  bachelor,Desktop computer,no answer,no answer,8 gb,"both (SSD, HDD)",128 gb,300-499
