id,nameGe,nameEn,altNameGe,altNameEn,name,long,lat,subRegionCode,subRegionName,regionName,population
node/207722273,ცანდრიფში,Tsandryphsh,განთიადი,Gantiadi,Цандрыҧшь - Цандрыпш,40.0817449,43.3818238,GE.AB.GG,Gagra,Abkhazia,
node/218549971,ვარძია,Vardzia,,,ვარძია,43.2844705,41.3809744,GE.SJ.AZ,Aspindza,Samtskhe-Javakheti,
node/275565310,ფშაველი,Pshaveli,,,ფშაველი,45.4433988,42.0816974,GE.KA.TE,Telavi,Kakheti,1926
node/275571611,ფიჩხისბოგირი,Pichkhisbogiri,,,ფიჩხისბოგირი (Pichkhisbogiri),46.068996,41.8380718,GE.KA.LG,Lagodekhi,Kakheti,
node/275571637,კაბალი,Kabali,,,Kabali (კაბალი),46.1306566,41.843901,GE.KA.LG,Lagodekhi,Kakheti,
node/280189842,ბურდიანი,Burdiani,,,ბურდიანი (Burdiani),45.4792765,41.7310613,GE.KA.SG,Sagarejo,Kakheti,66
node/286397983,ხეთაგუროვო,Tsunar,,,Цъунар,43.8910582,42.2070706,GE.SD.GR,Gori,Shida Kartli,
node/287995953,ჯიმითი,Jimiti,,,ჯიმითი,45.690467,41.67835,GE.KA.GJ,Gurjaani,Kakheti,1692
node/287995956,ნანიანის,Naniani,,,ნანიანის  (Naniani),45.7048156,41.6659179,GE.KA.GJ,Gurjaani,Kakheti,
node/288025367,დიდი ჩაილური,Didi Chailuri,,,დიდი ჩაილური (Didi Chailuri),45.5031894,41.7132868,GE.KA.SG,Sagarejo,Kakheti,1014
node/288025379,მანავი,Manavi,,,მანავი (Manavi),45.4626562,41.7184553,GE.KA.SG,Sagarejo,Kakheti,3106
node/288025695,პატარძეული,Patarzeuli,,,პატარძეული,45.2437527,41.7434146,GE.KA.SG,Sagarejo,Kakheti,3157
node/288025843,სართიჭალა,Sartichala,,,სართიჭალა,45.1766375,41.7140208,GE.KK.GD,Gardabani,Kvemo Kartli,
node/288609376,რუისი,Ruisi,,,რუისი,43.962835,42.0339829,GE.SD.KR,Kareli,Shida Kartli,
node/310027080,ახალდაბა,Akhaldaba,,,ახალდაბა,44.6641366,41.6846403,GE.KK.GD,Gardabani,Kvemo Kartli,
node/310183295,კვესეთი,Kveseti,,,კვესეთი,44.6106985,41.6787945,GE.KK.GD,Gardabani,Kvemo Kartli,
node/310186808,ახალი პანტიანი,Akhali Pantiani,,,ახალი პანტიანი,44.6014114,41.6575654,GE.KK.GD,Gardabani,Kvemo Kartli,
node/311280672,კიკეთი,Kiketi,,,კიკეთი,44.6496506,41.6550453,GE.KK.GD,Gardabani,Kvemo Kartli,
node/312793179,ტაბახმელა,Tabakhmela,,,ტაბახმელა,44.7576005,41.6485706,GE.KK.GD,Gardabani,Kvemo Kartli,
node/312810998,შინდისი,Shindisi,,,შინდისი,44.7659405,41.6657329,GE.KK.GD,Gardabani,Kvemo Kartli,
node/312811105,წავკისი,Tsavkisi,,,წავკისი,44.7462529,41.6673338,GE.KK.GD,Gardabani,Kvemo Kartli,
node/313257605,ქვემო თელეთი,Kvemo Teleti,,,ქვემო თელეთი,44.8593089,41.6452578,GE.TB.TB,Tbilisi,Tbilisi,
node/313257630,ახალწყარო,Akhaltskaro,,,ახალწყარო,44.8315814,41.6429074,GE.KK.GD,Gardabani,Kvemo Kartli,
node/313257741,ზემო თელეთი,Zemo Teleti,,,ზემო თელეთი,44.8212536,41.6404091,GE.KK.GD,Gardabani,Kvemo Kartli,
node/313257879,მუხრან-თელეთი,Mukhran-Teleti,,,მუხრან-თელეთი,44.8113444,41.6388106,GE.KK.GD,Gardabani,Kvemo Kartli,
node/313257880,წალასწყური,Tsalaskuri,,,წალასწყური,44.8190655,41.629884,GE.KK.GD,Gardabani,Kvemo Kartli,
node/313257927,ვაშლოვანი,Vashlovani,,,ვაშლოვანი,44.7410576,41.6183906,GE.KK.GD,Gardabani,Kvemo Kartli,
node/313257940,ერთისი,Ertisi,,,ერთისი,44.7321673,41.6167533,GE.KK.TR,Tetri Tskaro,Kvemo Kartli,
